image:0.jpg, predicted:60.00, true:23.19
image:253.jpg, predicted:65.38, true:46.79
image:254.jpg, predicted:60.00, true:45.84
image:255.jpg, predicted:45.00, true:44.72
image:256.jpg, predicted:45.00, true:55.84
image:257.jpg, predicted:45.00, true:72.87
image:258.jpg, predicted:65.00, true:73.47
image:259.jpg, predicted:56.00, true:40.16
image:26.jpg, predicted:46.00, true:28.05
image:260.jpg, predicted:38.33, true:38.82
image:261.jpg, predicted:85.00, true:73.17
image:262.jpg, predicted:28.00, true:16.83
image:263.jpg, predicted:24.00, true:14.74
image:264.jpg, predicted:16.00, true:14.15
image:265.jpg, predicted:24.00, true:15.83
image:266.jpg, predicted:22.50, true:12.84
image:267.jpg, predicted:24.00, true:16.98
image:268.jpg, predicted:30.00, true:18.52
image:269.jpg, predicted:35.00, true:23.86
image:27.jpg, predicted:52.00, true:33.33
image:270.jpg, predicted:28.00, true:15.12
image:271.jpg, predicted:25.00, true:11.58
image:272.jpg, predicted:45.00, true:29.11
image:273.jpg, predicted:36.00, true:26.05
image:274.jpg, predicted:45.00, true:33.33
image:275.jpg, predicted:40.00, true:27.78
image:276.jpg, predicted:20.00, true:10.22
image:277.jpg, predicted:12.86, true:7.24
image:278.jpg, predicted:8.33, true:5.38
image:279.jpg, predicted:23.33, true:14.29
image:28.jpg, predicted:85.00, true:61.29
image:280.jpg, predicted:23.33, true:16.82
image:281.jpg, predicted:30.00, true:21.37
image:282.jpg, predicted:38.33, true:25.00
image:283.jpg, predicted:10.00, true:6.82
image:284.jpg, predicted:38.33, true:28.35
image:285.jpg, predicted:17.14, true:12.32
image:286.jpg, predicted:23.33, true:24.78
image:287.jpg, predicted:35.38, true:23.87
image:288.jpg, predicted:56.67, true:47.32
image:289.jpg, predicted:36.00, true:25.69
image:29.jpg, predicted:6.00, true:5.15
image:290.jpg, predicted:28.57, true:20.63
image:291.jpg, predicted:16.67, true:11.71
image:292.jpg, predicted:18.00, true:13.59
image:293.jpg, predicted:46.00, true:32.67
image:294.jpg, predicted:17.14, true:11.02
image:295.jpg, predicted:18.00, true:10.09
image:296.jpg, predicted:30.00, true:18.35
image:297.jpg, predicted:24.00, true:13.76
image:298.jpg, predicted:38.33, true:27.93
image:299.jpg, predicted:25.71, true:12.41
image:3.jpg, predicted:85.00, true:82.05
image:30.jpg, predicted:90.00, true:48.80
image:300.jpg, predicted:18.00, true:10.89
image:301.jpg, predicted:18.00, true:9.42
image:302.jpg, predicted:24.00, true:15.89
image:303.jpg, predicted:24.00, true:17.14
image:304.jpg, predicted:17.14, true:12.60
image:305.jpg, predicted:78.00, true:53.75
image:306.jpg, predicted:65.00, true:46.77
image:307.jpg, predicted:63.00, true:45.96
image:308.jpg, predicted:65.00, true:41.00
image:309.jpg, predicted:15.00, true:11.57
image:31.jpg, predicted:58.00, true:39.43
image:310.jpg, predicted:30.00, true:11.21
image:311.jpg, predicted:66.15, true:38.55
image:312.jpg, predicted:56.00, true:36.75
image:313.jpg, predicted:45.00, true:47.52
image:314.jpg, predicted:56.00, true:33.12
image:315.jpg, predicted:40.00, true:24.83
image:316.jpg, predicted:40.00, true:24.40
image:317.jpg, predicted:36.00, true:29.63
image:318.jpg, predicted:30.00, true:19.83
image:319.jpg, predicted:60.00, true:35.76
image:32.jpg, predicted:58.00, true:33.69
image:320.jpg, predicted:20.00, true:11.54
image:321.jpg, predicted:28.00, true:24.29
image:322.jpg, predicted:45.00, true:27.66
image:323.jpg, predicted:32.86, true:21.13
image:324.jpg, predicted:24.00, true:19.19
image:325.jpg, predicted:36.00, true:32.14
image:326.jpg, predicted:46.00, true:36.99
image:327.jpg, predicted:45.00, true:40.72
image:328.jpg, predicted:46.67, true:46.31
image:329.jpg, predicted:57.50, true:36.90
image:33.jpg, predicted:68.00, true:29.11
image:330.jpg, predicted:46.67, true:34.69
image:331.jpg, predicted:56.00, true:42.96
image:332.jpg, predicted:32.86, true:13.71
image:333.jpg, predicted:20.00, true:21.59
image:334.jpg, predicted:20.00, true:8.26
image:335.jpg, predicted:18.00, true:12.07
image:336.jpg, predicted:40.00, true:34.21
image:337.jpg, predicted:36.00, true:34.72
image:338.jpg, predicted:51.11, true:62.50
image:339.jpg, predicted:54.00, true:54.65
image:34.jpg, predicted:46.00, true:31.62
image:340.jpg, predicted:75.00, true:71.14
image:342.jpg, predicted:7.00, true:3.39
image:343.jpg, predicted:10.00, true:4.50
image:344.jpg, predicted:20.00, true:12.00
image:345.jpg, predicted:20.00, true:9.85
image:346.jpg, predicted:16.67, true:10.58
image:347.jpg, predicted:16.00, true:8.50
image:348.jpg, predicted:30.00, true:9.91
image:349.jpg, predicted:23.33, true:11.39
image:35.jpg, predicted:46.00, true:30.25
image:350.jpg, predicted:36.00, true:16.39
image:351.jpg, predicted:10.00, true:6.45
image:352.jpg, predicted:20.00, true:17.56
image:353.jpg, predicted:56.00, true:48.05
image:354.jpg, predicted:46.00, true:33.33
image:355.jpg, predicted:56.67, true:51.06
image:356.jpg, predicted:30.00, true:21.52
image:357.jpg, predicted:28.00, true:20.48
image:358.jpg, predicted:34.00, true:48.55
image:359.jpg, predicted:46.00, true:34.94
image:36.jpg, predicted:45.00, true:18.90
image:360.jpg, predicted:58.46, true:54.46
image:361.jpg, predicted:23.33, true:20.71
image:362.jpg, predicted:30.00, true:25.81
image:363.jpg, predicted:28.00, true:12.82
image:364.jpg, predicted:24.00, true:15.13
image:365.jpg, predicted:36.00, true:16.96
image:366.jpg, predicted:32.86, true:26.03
image:368.jpg, predicted:20.00, true:13.07
image:369.jpg, predicted:20.00, true:10.66
image:37.jpg, predicted:45.00, true:23.17
image:370.jpg, predicted:8.00, true:7.39
image:371.jpg, predicted:8.00, true:6.57
image:372.jpg, predicted:3.00, true:1.53
image:373.jpg, predicted:23.00, true:13.03
image:374.jpg, predicted:20.00, true:13.62
image:375.jpg, predicted:24.00, true:9.57
image:376.jpg, predicted:9.00, true:6.48
image:377.jpg, predicted:10.00, true:6.58
image:38.jpg, predicted:46.00, true:24.37
image:380.jpg, predicted:2.00, true:1.05
image:381.jpg, predicted:1.00, true:0.91
image:382.jpg, predicted:10.00, true:6.31
image:383.jpg, predicted:5.00, true:4.39
image:384.jpg, predicted:13.33, true:5.59
image:385.jpg, predicted:5.00, true:2.39
image:386.jpg, predicted:5.00, true:3.74
image:387.jpg, predicted:6.00, true:2.59
image:388.jpg, predicted:15.00, true:11.55
image:389.jpg, predicted:28.00, true:17.97
image:39.jpg, predicted:46.00, true:20.19
image:390.jpg, predicted:40.00, true:20.35
image:391.jpg, predicted:15.00, true:9.00
image:392.jpg, predicted:45.00, true:30.83
image:393.jpg, predicted:14.00, true:9.06
image:394.jpg, predicted:15.00, true:6.48
image:395.jpg, predicted:15.00, true:8.60
image:396.jpg, predicted:34.00, true:15.26
image:397.jpg, predicted:45.00, true:20.82
image:398.jpg, predicted:23.00, true:11.01
image:399.jpg, predicted:35.00, true:14.56
image:4.jpg, predicted:80.00, true:78.05
image:40.jpg, predicted:28.00, true:13.56
image:400.jpg, predicted:12.00, true:6.93
image:401.jpg, predicted:12.00, true:3.63
image:41.jpg, predicted:40.00, true:14.01
image:42.jpg, predicted:30.00, true:13.15
image:43.jpg, predicted:20.00, true:16.25
image:44.jpg, predicted:56.00, true:25.00
image:45.jpg, predicted:46.00, true:22.45
image:46.jpg, predicted:56.67, true:36.30
image:47.jpg, predicted:56.00, true:32.12
image:48.jpg, predicted:45.00, true:24.32
image:49.jpg, predicted:42.00, true:28.57
image:5.jpg, predicted:68.00, true:50.00
image:50.jpg, predicted:65.00, true:61.88
image:51.jpg, predicted:68.00, true:58.78
image:52.jpg, predicted:90.00, true:73.00
image:53.jpg, predicted:85.00, true:73.57
image:54.jpg, predicted:85.00, true:73.14
image:55.jpg, predicted:60.00, true:39.39
image:56.jpg, predicted:57.50, true:39.45
image:57.jpg, predicted:75.00, true:56.69
image:58.jpg, predicted:75.00, true:37.36
image:59.jpg, predicted:70.00, true:45.09
image:6.jpg, predicted:75.00, true:56.62
image:60.jpg, predicted:74.29, true:55.10
image:61.jpg, predicted:58.00, true:58.38
image:62.jpg, predicted:70.00, true:52.74
image:63.jpg, predicted:83.33, true:58.72
image:64.jpg, predicted:38.00, true:28.04
image:65.jpg, predicted:40.00, true:23.89
image:66.jpg, predicted:38.33, true:21.47
image:67.jpg, predicted:56.00, true:26.34
image:68.jpg, predicted:60.00, true:33.33
image:69.jpg, predicted:15.00, true:13.33
image:7.jpg, predicted:76.00, true:72.22
image:70.jpg, predicted:65.71, true:33.83
image:71.jpg, predicted:75.00, true:36.47
image:72.jpg, predicted:76.67, true:45.10
image:73.jpg, predicted:72.00, true:30.00
image:74.jpg, predicted:45.00, true:34.35
image:75.jpg, predicted:58.00, true:42.50
image:76.jpg, predicted:54.00, true:33.03
image:77.jpg, predicted:68.00, true:37.42
image:78.jpg, predicted:47.00, true:44.53
image:79.jpg, predicted:57.50, true:39.66
image:8.jpg, predicted:75.00, true:65.83
image:80.jpg, predicted:56.25, true:27.59
image:81.jpg, predicted:45.00, true:30.63
image:82.jpg, predicted:46.00, true:24.57
image:83.jpg, predicted:46.00, true:18.37
image:84.jpg, predicted:46.00, true:21.80
image:85.jpg, predicted:45.00, true:21.54
image:86.jpg, predicted:56.00, true:23.72
image:87.jpg, predicted:51.85, true:38.33
image:88.jpg, predicted:80.00, true:85.29
image:89.jpg, predicted:76.00, true:73.40
image:9.jpg, predicted:56.00, true:34.25
image:90.jpg, predicted:76.00, true:79.12
image:91.jpg, predicted:56.25, true:47.95
image:92.jpg, predicted:75.00, true:49.65
image:93.jpg, predicted:76.00, true:53.90
image:94.jpg, predicted:75.00, true:63.03
image:95.jpg, predicted:70.00, true:59.81
image:96.jpg, predicted:76.00, true:66.67
image:97.jpg, predicted:75.00, true:67.77
image:98.jpg, predicted:75.00, true:66.41
image:99.jpg, predicted:45.00, true:41.00
