image,predicted,true
244.jpg,72.00,61.61
245.jpg,65.00,20.85
246.jpg,45.00,34.21
247.jpg,65.00,42.08
248.jpg,45.00,34.40
249.jpg,45.00,37.68
25.jpg,45.00,46.43
250.jpg,45.00,28.79
251.jpg,45.00,36.24
252.jpg,45.00,36.43
253.jpg,65.00,46.79
254.jpg,65.00,45.84
255.jpg,65.00,44.72
256.jpg,60.00,55.84
257.jpg,65.00,72.87
258.jpg,65.00,73.47
259.jpg,65.00,40.16
26.jpg,45.00,28.05
260.jpg,45.00,38.82
261.jpg,65.00,73.17
262.jpg,23.00,16.83
263.jpg,23.00,14.74
264.jpg,20.00,14.15
265.jpg,23.00,15.83
266.jpg,15.00,12.84
267.jpg,20.00,16.98
268.jpg,25.00,18.52
269.jpg,35.00,23.86
27.jpg,30.00,33.33
270.jpg,23.00,15.12
271.jpg,23.00,11.58
272.jpg,45.00,29.11
273.jpg,35.00,26.05
274.jpg,45.00,33.33
275.jpg,45.00,27.78
276.jpg,23.00,10.22
277.jpg,12.00,7.24
278.jpg,10.00,5.38
279.jpg,30.00,14.29
28.jpg,65.00,61.29
280.jpg,35.00,16.82
281.jpg,30.00,21.37
282.jpg,35.00,25.00
283.jpg,12.00,6.82
284.jpg,35.00,28.35
285.jpg,23.00,12.32
286.jpg,45.00,24.78
287.jpg,35.00,23.87
288.jpg,62.50,47.32
289.jpg,35.00,25.69
29.jpg,10.00,5.15
290.jpg,30.00,20.63
291.jpg,12.00,11.71
292.jpg,15.00,13.59
293.jpg,45.00,32.67
294.jpg,12.00,11.02
295.jpg,12.00,10.09
296.jpg,35.00,18.35
297.jpg,30.00,13.76
298.jpg,45.00,27.93
299.jpg,23.00,12.41
3.jpg,75.00,82.05
30.jpg,80.00,48.80
300.jpg,12.00,10.89
301.jpg,23.00,9.42
302.jpg,30.00,15.89
303.jpg,25.00,17.14
304.jpg,15.00,12.60
305.jpg,65.00,53.75
306.jpg,70.00,46.77
307.jpg,65.00,45.96
308.jpg,65.00,41.00
309.jpg,35.00,11.57
31.jpg,65.00,39.43
310.jpg,30.00,11.21
311.jpg,65.00,38.55
312.jpg,62.00,36.75
313.jpg,65.00,47.52
314.jpg,45.00,33.12
315.jpg,45.00,24.83
316.jpg,35.00,24.40
317.jpg,35.00,29.63
318.jpg,15.00,19.83
319.jpg,45.00,35.76
32.jpg,65.00,33.69
320.jpg,15.00,11.54
321.jpg,30.00,24.29
322.jpg,45.00,27.66
323.jpg,35.00,21.13
324.jpg,23.00,19.19
325.jpg,45.00,32.14
326.jpg,45.00,36.99
327.jpg,60.00,40.72
328.jpg,65.00,46.31
329.jpg,45.00,36.90
33.jpg,65.00,29.11
330.jpg,45.00,34.69
331.jpg,60.00,42.96
332.jpg,35.00,13.71
333.jpg,15.00,21.59
334.jpg,15.00,8.26
335.jpg,12.00,12.07
336.jpg,45.00,34.21
337.jpg,35.00,34.72
338.jpg,35.00,62.50
339.jpg,65.00,54.65
34.jpg,45.00,31.62
340.jpg,80.00,71.14
341.jpg,12.00,0.85
342.jpg,15.00,3.39
343.jpg,5.00,4.50
344.jpg,15.00,12.00
345.jpg,12.00,9.85
346.jpg,12.00,10.58
347.jpg,12.00,8.50
348.jpg,23.00,9.91
349.jpg,12.00,11.39
35.jpg,45.00,30.25
350.jpg,35.00,16.39
351.jpg,10.00,6.45
352.jpg,15.00,17.56
353.jpg,60.00,48.05
354.jpg,35.00,33.33
355.jpg,45.00,51.06
356.jpg,20.00,21.52
357.jpg,23.00,20.48
358.jpg,45.00,48.55
359.jpg,45.00,34.94
36.jpg,65.00,18.90
360.jpg,65.00,54.46
361.jpg,45.00,20.71
362.jpg,45.00,25.81
363.jpg,23.00,12.82
364.jpg,35.00,15.13
365.jpg,45.00,16.96
366.jpg,35.00,26.03
367.jpg,0.00,0.00
368.jpg,15.00,13.07
369.jpg,23.00,10.66
37.jpg,65.00,23.17
370.jpg,12.00,7.39
371.jpg,6.00,6.57
372.jpg,3.00,1.53
373.jpg,23.00,13.03
374.jpg,23.00,13.62
375.jpg,12.00,9.57
376.jpg,15.00,6.48
377.jpg,12.00,6.58
378.jpg,0.00,0.00
379.jpg,0.00,0.00
38.jpg,45.00,24.37
380.jpg,10.00,1.05
381.jpg,10.00,0.91
382.jpg,23.00,6.31
383.jpg,4.00,4.39
384.jpg,10.00,5.59
385.jpg,5.00,2.39
386.jpg,10.00,3.74
387.jpg,5.00,2.59
388.jpg,35.00,11.55
389.jpg,45.00,17.97
39.jpg,30.00,20.19
390.jpg,45.00,20.35
391.jpg,25.00,9.00
392.jpg,45.00,30.83
393.jpg,30.00,9.06
394.jpg,35.00,6.48
395.jpg,23.00,8.60
396.jpg,45.00,15.26
397.jpg,45.00,20.82
398.jpg,45.00,11.01
399.jpg,45.00,14.56
4.jpg,65.00,78.05
40.jpg,45.00,13.56
400.jpg,23.00,6.93
401.jpg,12.00,3.63
41.jpg,60.00,14.01
42.jpg,35.00,13.15
43.jpg,45.00,16.25
44.jpg,45.00,25.00
45.jpg,45.00,22.45
46.jpg,65.00,36.30
47.jpg,45.00,32.12
48.jpg,35.00,24.32
49.jpg,65.00,28.57
5.jpg,65.00,50.00
50.jpg,72.00,61.88
51.jpg,72.00,58.78
52.jpg,80.00,73.00
53.jpg,80.00,73.57
54.jpg,80.00,73.14
55.jpg,45.00,39.39
56.jpg,65.00,39.45
57.jpg,72.00,56.69
58.jpg,72.00,37.36
59.jpg,72.00,45.09
6.jpg,65.00,56.62
60.jpg,70.00,55.10
61.jpg,80.00,58.38
62.jpg,65.00,52.74
63.jpg,80.00,58.72
64.jpg,65.00,28.04
65.jpg,45.00,23.89
66.jpg,45.00,21.47
67.jpg,52.00,26.34
68.jpg,45.00,33.33
69.jpg,35.00,13.33
7.jpg,72.00,72.22
70.jpg,45.00,33.83
71.jpg,30.00,36.47
72.jpg,45.00,45.10
73.jpg,45.00,30.00
74.jpg,65.00,34.35
75.jpg,72.00,42.50
76.jpg,65.00,33.03
77.jpg,65.00,37.42
78.jpg,80.00,44.53
79.jpg,45.00,39.66
8.jpg,72.00,65.83
80.jpg,45.00,27.59
81.jpg,45.00,30.63
82.jpg,65.00,24.57
83.jpg,45.00,18.37
84.jpg,45.00,21.80
85.jpg,45.00,21.54
86.jpg,45.00,23.72
87.jpg,45.00,38.33
88.jpg,72.00,85.29
89.jpg,65.00,73.40
9.jpg,30.00,34.25
90.jpg,65.00,79.12
91.jpg,45.00,47.95
92.jpg,65.00,49.65
93.jpg,72.00,53.90
94.jpg,72.00,63.03
95.jpg,65.00,59.81
96.jpg,45.00,66.67
97.jpg,72.00,67.77
98.jpg,72.00,66.41
99.jpg,65.00,41.00
