image,predicted,true
380.jpg,1.48,1.05
381.jpg,0.55,0.91
382.jpg,18.67,6.31
383.jpg,6.98,4.39
384.jpg,10.00,5.59
385.jpg,4.19,2.39
386.jpg,14.06,3.74
387.jpg,11.11,2.59
388.jpg,20.00,11.55
389.jpg,26.00,17.97
39.jpg,30.71,20.19
390.jpg,37.14,20.35
391.jpg,24.38,9.00
392.jpg,52.00,30.83
393.jpg,19.50,9.06
394.jpg,20.29,6.48
395.jpg,14.89,8.60
396.jpg,32.50,15.26
397.jpg,38.29,20.82
398.jpg,26.00,11.01
399.jpg,32.50,14.56
4.jpg,78.00,78.05
40.jpg,32.50,13.56
400.jpg,14.89,6.93
401.jpg,12.84,3.63
41.jpg,34.00,14.01
42.jpg,32.50,13.15
43.jpg,26.00,16.25
44.jpg,51.54,25.00
46.jpg,52.00,36.30
47.jpg,52.00,32.12
48.jpg,40.00,24.32
49.jpg,46.21,28.57
5.jpg,70.53,50.00
50.jpg,63.50,61.88
51.jpg,63.50,58.78
52.jpg,78.00,73.00
53.jpg,79.38,73.57
54.jpg,83.50,73.14
55.jpg,52.00,39.39
56.jpg,52.00,39.45
57.jpg,84.29,56.69
58.jpg,52.00,37.36
59.jpg,78.00,45.09
6.jpg,78.00,56.62
60.jpg,59.00,55.10
61.jpg,59.00,58.38
62.jpg,59.09,52.74
63.jpg,80.82,58.72
64.jpg,48.00,28.04
65.jpg,33.33,23.89
66.jpg,46.15,21.47
67.jpg,34.21,26.34
68.jpg,47.27,33.33
69.jpg,24.53,13.33
7.jpg,78.00,72.22
70.jpg,60.20,33.83
71.jpg,100.00,36.47
72.jpg,77.61,45.10
73.jpg,52.00,30.00
74.jpg,52.00,34.35
75.jpg,73.58,42.50
76.jpg,52.00,33.03
77.jpg,52.00,37.42
78.jpg,52.00,44.53
79.jpg,52.00,39.66
8.jpg,78.00,65.83
80.jpg,39.00,27.59
81.jpg,52.00,30.63
82.jpg,40.00,24.57
83.jpg,34.91,18.37
84.jpg,46.21,21.80
85.jpg,33.33,21.54
86.jpg,47.27,23.72
87.jpg,42.86,38.33
88.jpg,73.58,85.29
89.jpg,78.00,73.40
9.jpg,32.50,34.25
90.jpg,73.58,79.12
91.jpg,44.32,47.95
92.jpg,70.53,49.65
93.jpg,78.00,53.90
94.jpg,73.58,63.03
95.jpg,59.54,59.81
96.jpg,73.58,66.67
97.jpg,73.58,67.77
98.jpg,73.58,66.41
99.jpg,52.00,41.00
